ID2,Concat,Plot,Year,Month,Date2,Julian,File,Period,Event,Time,Detection,Distance,Notes
102,2019A7,A7,2019,5,19,139,A7_051919_2,2,BUOR,10,Call,1,
101,2019A7,A7,2019,5,19,139,A7_051919_2,2,HOFI,2,Song,1,
113,2019A7,A7,2019,5,19,139,A7_051919_3,3,BHGR,2,Song,1,
251,2019D5,D5,2019,5,19,139,D5_051919_2,2,MAWR,1,Song,1,
518,2019F5,F5,2019,5,19,139,F5_051919_1,1,RNEP,1,Call,1,
531,2019F5,F5,2019,5,19,139,F5_051919_2,2,TRES,4,Call,1,
893,2019G5,G5,2019,5,19,139,G5_051919_1,1,WITU,35,Call,1,
901,2019G5,G5,2019,5,19,139,G5_051919_2,2,BEWR,4,Call,1,
911,2019G5,G5,2019,5,19,139,G5_051919_3,3,SWTH,1,Call,1,all throughout recording
264,2019D5,D5,2019,5,20,140,D5_052019_1,1,MAWR,2,Song,1,
292,2019D5,D5,2019,5,20,140,D5_052019_3,3,COYE,207,Song,1,
287,2019D5,D5,2019,5,20,140,D5_052019_3,3,MAWR,2,Song,1,
564,2019F5,F5,2019,5,20,140,F5_052019_2,2,TRES,436,Call,1,
921,2019G5,G5,2019,5,20,140,G5_052019_1,1,AMRO,1,Song,1,
936,2019G5,G5,2019,5,20,140,G5_052019_2,2,HOWR,425,Call,1,
1305,2019M7,M7,2019,5,20,140,M7_052019_3,3,WODU,314,Call,1,flyover
3241,2019P5,P5,2019,5,20,140,P5_052019_3,3,SOSP,6,Song,1,
171,2019A7,A7,2019,5,21,141,A7_052119_1,1,BHGR,1,Song,1,
184,2019A7,A7,2019,5,21,141,A7_052119_2,2,BHGR,1,Song,1,very loud
300,2019D5,D5,2019,5,21,141,D5_052119_2,2,RNEP,1,Call,1,
596,2019F5,F5,2019,5,22,142,F5_052219_2,2,BLPH,8,Song,1,
3296,2019P5,P5,2019,5,22,142,P5_052219_3,3,BRBL,259,Call,1,
3940,2021J3,J3,2021,5,24,144,J3_052421_2,2,WODU,55,Call,1,LANDS NEXT REC
4725,2021N200P2,N200P2,2021,5,24,144,N200P2_052421_1,1,BEWR,135,Song,1,
4720,2021N200P2,N200P2,2021,5,24,144,N200P2_052421_1,1,SOSP,4,Song,1,
4912,2021N3,N3,2021,5,24,144,N3_052421_1,1,RWBL,2,Song,1,
4915,2021N3,N3,2021,5,24,144,N3_052421_1,1,TRES,342,Call,1,
4916,2021N3,N3,2021,5,24,144,N3_052421_2,2,RWBL,5,Song,1,
4917,2021N3,N3,2021,5,24,144,N3_052421_3,3,RWBL,1,Song,1,
5335,2021P2,P2,2021,5,24,144,P2_052421_2,2,RWBL,3,Song,1,
5337,2021P2,P2,2021,5,24,144,P2_052421_3,3,RWBL,1,Call,1,
3518,2021G1,G1,2021,5,25,145,G1_052521_3,3,RWBL,1,Call,1,
3587,2021G2,G2,2021,5,25,145,G2_052521_2,2,NRWS,105,Song,1,
3590,2021G2,G2,2021,5,25,145,G2_052521_3,3,RWBL,51,Call,1,
